SRR13291825.32904	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.32904	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.33540	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.33540	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.33540	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.37472	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.37472	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.37472	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.39877	k141_25_monomer_x2	99.487	195	21	215	80	274	8.11e-103
SRR13291825.39877	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.39877	k141_25_monomer_x2	98.864	88	128	215	1	88	2.46e-43
SRR13291825.39891	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.39891	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.39891	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.40167	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.40167	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.40167	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.40544	k141_25_monomer_x2	96.410	195	21	215	80	274	8.23e-93
SRR13291825.40544	k141_25_monomer_x2	98.131	107	21	127	266	372	3.13e-52
SRR13291825.40544	k141_25_monomer_x2	94.318	88	128	215	1	88	1.15e-36
SRR13291825.41049	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.41049	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.41049	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.41666	k141_25_monomer_x2	99.487	195	21	215	80	274	8.11e-103
SRR13291825.41666	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.41666	k141_25_monomer_x2	98.864	88	128	215	1	88	2.46e-43
SRR13291825.43116	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.43116	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.43116	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.44465	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.44465	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.44465	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.45627	k141_25_monomer_x2	98.446	193	21	213	80	272	2.27e-98
SRR13291825.45627	k141_25_monomer_x2	99.065	107	21	127	266	372	6.73e-54
SRR13291825.45627	k141_25_monomer_x2	97.674	86	128	213	1	86	1.48e-40
SRR13291825.48243	k141_25_monomer_x2	97.436	195	21	215	80	274	3.80e-96
SRR13291825.48243	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.48243	k141_25_monomer_x2	94.318	88	128	215	1	88	1.15e-36
SRR13291825.51251	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.51251	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.51251	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.52768	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.52768	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.52768	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
